player_name,variety,card_number,set,year,image_url,total_graded
Andre Ethier,Base,313,Topps,2005,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IitzQS9NRVNhSlYxbWlKRnMwbTFtdXc9PSIsInZhbHVlIjoiS2lVRUhUcTgzUW5OSEsrUy9IRTF3ZlY5QjZKUzdhcEg2RjA4MXV6SWpNcz0iLCJtYWMiOiJiOWRhNGE3OWU0M2YwY2E0MTczZWRiYTM1MjNiODg3NzUyNzEwZjA2MjE5ZTMzMTVkMmEwOTI0YzMyZDg5ZGU1In0=,104
Anquan Boldin,Base,203,Topps Chrome,2003,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InZYWE44ekcycTVxOS93T1ZZUnJ5RGc9PSIsInZhbHVlIjoiVHZzM0p4V01vZVY0Y3pSKzR2YkZJdWU5RFVIVjhFQzVVaXYwS3k1MmMrST0iLCJtYWMiOiIxYmViMzYwNjYyN2EzZGVkMGUzMTljNGI2NTVmNTZkZDQ5OWE4ZTU4ZWU5NDE1NTU3OWE0NzViOGNiNDk3YWMwIn0=,106
Anthony Davis,Base,2,Panini Contenders Roy Die-Cut,2012,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IkZ2akFwWXl5VUJ3V201MVRFNlU4N3c9PSIsInZhbHVlIjoiT1RUamRQU2tsMEtWMWNVaVIwdVUrQlZIUDhpMnNNQ1RaNlVXb3pGL3VHYU9TKzNxQ0hIbHNEL2YrYWlVMW04SkxCK2NEZWpUQ0JQdTZmQ2RyM0swV0E9PSIsIm1hYyI6IjZiNjE5ZmY1NjM2ODkyMTU5NGZiYzdkNjIxNTdlODkzNTY3MWY5NWZjMTYzMzY0NzlmZTM3ZTRkY2NiMGI0NzMifQ==,64
Anthony Edwards,Blue Ice,1,Panini Prizm Draft Picks,2020,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InZxb1BxVGlHLzE1bmw0S1NFMTdzNGc9PSIsInZhbHVlIjoibUhTSXNBOWN0aEhFenByNmNLNytwSTR0dlZzalFkNkhjU2NZc1R2Y3Y1djh5SWRhUVlXQnJ3dmFDV2F6RG03SFJLUjFYenpvVUdobGFkQVdJZWw3YUE9PSIsIm1hYyI6ImE4YWZkZDE4ZmI5ZGIyMTMwMzI0Mjk2NzdlODI2NzgzMDdjNDk3YzI3YmI3NmI2NmFiZDA4ODlmOTRhZmMwYTMifQ==,7
Anthony Edwards,Silver Prizm,258,Panini Prizm,2020,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InVJc1d3Z0lDU3luMTZ4amhtYXpwWmc9PSIsInZhbHVlIjoicksxR1d3ZHI4cVIvYU5xRlpQN2xpRUJkeGtFU3ZIUldTdktFRHRpaUtqZms1NXhtbURPOHZENENsSXhtWmE5THcyaFlGRzFXOW5sYzV6eDNkaGF6U2c9PSIsIm1hYyI6ImUxYzIxYzgxNzkzYTdhNzg3NGM2NWUyOThkMTg3NmY5MzRjMDE5YTUwZTdiOTMxNzMwZWY3NDU1Y2FhNThlNzUifQ==,794
Anthony Rizzo,Base,BP101,Bowman Prospects,2010,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ik0zamFEc2NHajNUb2RNT1RWSUNXRmc9PSIsInZhbHVlIjoibFZ4MWZFVllxd1NKUDBiNFNTZ3ZGUVk2cm8vT3JINC9GOGNtV3dtMUVOdz0iLCJtYWMiOiIwYmYwMTQzOWVkODBhZGM0MDQ1YzBmMWYxYTM0Y2I0YjU2NzkzMGE3OTg3NjAzMDkzOWM3ZjJlNzcwZDVjMGJiIn0=,349
Aroldis Chapman,Base,110,Topps,2011,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ild3ZWVpSit5OWwyeDVBalR0WmVYL2c9PSIsInZhbHVlIjoiR1VBVHNIZkdBdDlwaEgvQ3NhS2tLQm9yYzE1ZEpWRVdrV1RIZndUSk5uVGdUNzA0U21qQ09iM3Y4Nk1IdVpPc2U5ZGxUY0djNXE3c0NONWxsVVJwaEE9PSIsIm1hYyI6ImY4MGVlOWMzM2FhYWJkODk4ZDEwNWRjMGE4ZDc5ZjFkYzVlODY4MjdmYjNjYzE1Y2MxN2ZjZDUxMjNlOGE0NmYifQ==,225
Brandon Roy,Base,89,Finest,2006,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlpCcW5iejd0RVc3UEh5RjA5L21iZ3c9PSIsInZhbHVlIjoiNnN2dU1QYlVxTHJSek5OeXdvL3N3NkY2YTNtY1BLOTdkb2VjTytyUzc2MHg0Z2FsQjFsR1hwOHMxS1ZVOTdLelVuQk4zR0JvZHdnV1FsMStQRGQrTnc9PSIsIm1hYyI6IjhkYTU3YmUzZDhjYzk0YWU0ZTRjYzczMzFkMDQ3M2RjZTIyYjcxZTU5OTkzYzNkMjk2M2VkNzk5ODI0ZWNlOTcifQ==,160
Brett Favre,Collection,250,Topps,2004,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IkdiaWxwdEdMT3JSU01MQ3FtLzF1NEE9PSIsInZhbHVlIjoiaktNcmpuQVJMUTg0WGNOSjhyR1FYY0R3NTNnR0VMb3NiMXVMSUFQZ1hlaEhnV04vZzZPQ1RoaDNQS0NWd3Z0WWVhUTlqNjhYM3p2NkdEaldmVWlJS3c9PSIsIm1hYyI6ImJhNzk0YjEwNGJiMzc5ZWM5NjVjMTI0MTQ3OTMwODk5M2ViMWVjMjUxZDdlMWIwNjYwZGRlOWYxYjM3ODUzMGIifQ==,23
Buddy Hield,Base,192,Panini Prizm,2016,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Imp2TGd2dnBoQytQMkxsM0cvQWVMQ1E9PSIsInZhbHVlIjoiUkVobTl6V0pYdGdnanlnMWZWZlVjcnQrZHVSTHQvdnV6SFUrSC9mYVo2M004U2tIYmZRU0xNa1JVTjV4UmJwcUpMTzdsZDB1R01OVzJ0cTF3d0ExU0E9PSIsIm1hYyI6IjZlMjAyN2Y1ZjUzMjgzNjliZDMyOWU5NTVkYzYwODdlZTk2ZmVjZmExNWFjNjU4NWRkYWNjMGNkM2YzYWNlMTgifQ==,280
Chris Bosh,Prizm,116,Panini Prizm,2012,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ims0MzJhVS92bWtBRXdHQ3h3Nk9EdGc9PSIsInZhbHVlIjoicDYxNU5qM01OYnhHbHpmSzdnQWQ4L1lrTklhczBRcURrQUdDRTArL1R0UFVSUUt6SlR4bFF1Q21JRTI3dUloaXNiTWgzWkNuVUhNRDBPYURyelplMmc9PSIsIm1hYyI6ImY0ZjNhN2Q0MDYwNmIwMjY3Y2JjZDExN2Q3ODBjZjU3Y2U3MzNkNjBlMzAyMTYzODk3YTllNmZkMzZkYzhhOTYifQ==,18
Chris Paul,Base,149,SP Game Used,2005,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IkcwbmVLdEcvNkhNemNmWnpCTGhha0E9PSIsInZhbHVlIjoiV0FuNjVYdVBMVVllTFpIbWVBdTUzN2UrOEVNYm0rWG9vcnVHUFdVMDVndlJRRVlxL29zbGNRU0tlSTJNQThQMXFwOTgxUnlERjF3MVpMSnB3azRVN2c9PSIsIm1hYyI6ImZkMjQyOGZjZDc3OWRiY2YwMzhkNDJlMjI3NjI5MDI5ZGNlNzBiZWVlMmY2Njg0ZTFlNTNiN2MzZjNkZjEzZTcifQ==,76
Coby White,Pink Camo,264,Panini Mosaic,2019,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlhpTXVrRkpYZHZoUUxLaUFXSEMxY3c9PSIsInZhbHVlIjoiUjh5eEcwd24rQUg5d2tONEZPSFZUaWRmUGkzYjgwS2JpcEt0d3A2akNJSFhPS1RMSkw1dnE3TWlWZWJWekRnRS9ONktvTmFIUmpCZ2FNSHJBYWVtVHc9PSIsIm1hYyI6IjU0ZTBhODZhNTc1ZTVlMDc3MWU2Nzc2MDM0MzYwMmNhYzg2Mjk5NjE0OTUzMTJjMjhkNDhlZTU5MDMxYmRlOWYifQ==,585
Colton Parayko,Base,235,Upper Deck,2015,https://dw7591lwb84er.cloudfront.net/eyJpdiI6ImpQYS9KUlVRNkh2WWtCNnZEUjZDb1E9PSIsInZhbHVlIjoiOVc0T2tDU21Idk5Cd2FmdjBOVGtHYkJCczdtQWxZVXFjYWZNWktZVGZCUTdHdURwNE5TMkpvdGJaNWlSTXhDZzFwUnVnYkdjWU1oTkF1dThFT093ZEE9PSIsIm1hYyI6IjFlNThjY2M2NWZiYjRkZGViNzk1ZmJmMDcwODU3ZWJiNTM3MWZjNDg3YWYzMDkwNjdjYzRiNmZjZTZlMTEwMWUifQ==,87
Connor McDavid,Base,R97,O-Pee-Chee Platinum Retro,2015,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IitmdUdSc3R6SThnSVNTVldNc0REcnc9PSIsInZhbHVlIjoiczdjdUpHK3hteCtWaDVSVzUxYWZVT3R4cVVqR0orU011SlRGRGowYjBNUnJoRDluTDg2UmhrK1hKbVFuWXVhSiIsIm1hYyI6Ijk1OGE4NmRjYWQ0NTgwNDRkMWIyZGExZmYwMjY5YjY1ZjM3NjdjMjdkOTgyODBkYjEyM2FiMTNhNjM3OTkzNmMifQ==,131
Dansby Swanson,White Jersey,87,Topps,2017,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ik0wQlhxM25nWVpWUTdWeE55UFZHN1E9PSIsInZhbHVlIjoiRTJHMVk2WE16TENvQ2pzUk5qMTlZN1pkWjRxdFBzamRZRTBCaFhsakRqbz0iLCJtYWMiOiI0NGY0NGE2ZDljOTRiN2U4NTFmNzkwYzg2Y2JjMTU1MDcxMDI5MjY3MmZhNWNkNzVlYTZkMjhiZmRmM2UwZDg3In0=,360
David Johnson,Prizm,224,Panini Prizm,2015,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IlZKVHZzNGY3dDFNdmR5VUNxcWF2cmc9PSIsInZhbHVlIjoiQ1hsYnRzUUFoOTBDL1RkcllEZEVodlUzSkEyQmpOY203b1Z3cG0rNWttWlpSQktxK2tlUWpUZHE5VEs2K01HbmR5L2lGdnRKSW9yOTRLK3Q4dEF6d0E9PSIsIm1hYyI6ImM1OTAzZDY3YmY1YzUxNTM2NmVlZjEwZGUxZGYzY2Y2NTNhMmExZGQxZTNmYTFmNGU5NTc5ODljZjA1NzM5MTMifQ==,13
DeMarcus Ware,Base,142,Finest,2005,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IjhjQm1pWG0vd3JZV1A1YklFa2FKaWc9PSIsInZhbHVlIjoidFNoNG9qMWhCNmtBTEN3Y09rMWg3cEdrTmtxVXNoanl5UUhZeFlrMkV1WEcwSVhkV3pRU1BLdTV3eTBINzJSMmk0dkNPNVlzQzBLZGN5bEh4eGFPVmc9PSIsIm1hYyI6ImM4MDgwMzNlNzFhYjFlNDZlYjk1MjU4ZDE1N2E2OGI3OGMyZmFjZDhkMWI0MDY0MmIzYzJlMGNhNDI5ZTMwNTMifQ==,70
Derek Jeter,Base,10,Bowman Chrome,2012,https://dw7591lwb84er.cloudfront.net/eyJpdiI6ImUzYk1BS2gzeVZIVUt5MmFBWkV3WHc9PSIsInZhbHVlIjoidXNReWdRQkNxdFBvRmJFVXlZQllDZnFqZmxVUW1Fdkl3Qy9YR1JmQzJTRT0iLCJtYWMiOiJmMzljMDBkYWRiYTA3NzM1N2ZhMjRjNGM5NzI1Nzk1NzUwNzQwYWJhMGM4ZDRhMzQ1OWNiNWU2ZWY2MDYzNjE5In0=,83
Derek Jeter,Base,188,Fleer,2001,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InFkT2xsOGhHVmhFMnpuZjFqTDZTN3c9PSIsInZhbHVlIjoiNHpON0hWN3A2d2U5bVN0b0hoYWNTUWhTdm5WOU1ZSFpwYnVkbzh5QTQyeGVLSHN1a1hHMks2YTRUQkNRRnA2NEhpb0hERlh6dllacm15L3BPZTh4SUE9PSIsIm1hYyI6IjIxMDQxMzU5MDMyMTVmZGUxNzMzMTQ4N2M1NGIyYmIxOTFmY2VhNDVlYzRiNDViZTk5N2Y2MzhkNTA0ODNjZDcifQ==,205
Derek Jeter,Base,200,Topps Mini,2014,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ik5PUExESy9LdFhlV0pEK0tuSFRaV1E9PSIsInZhbHVlIjoiZVdpNHJNRW5IVElaY2pqTW40L1VwRGg0aE5JUmRsbk4ydTBqK0c0SkFMRUFCczJRNGZVZFI2cmx3VjBmWE1RSVBYVUE0ajhEUlhiU3pGU2hPcTQ1eEE9PSIsIm1hYyI6ImUwZmYyZjZhOWNkOTQ2YTQwNWFmNTAxOWE4NGQ5MDhkY2JmZTMzNzUwMWIyMjBhYzdkNGI2ODBjMmY2ODJjYzQifQ==,4
Derek Jeter,Refractor,20,Topps Chrome,2011,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InJReXhpQTcyRFk5YXVPd0p6ZnNIckE9PSIsInZhbHVlIjoiaExtcGo5ZW5PR2VSTDl4cmlKK0hUeGtPem5PdlJzbG8zTFNsS1pxOUZBMD0iLCJtYWMiOiI5MjcyOTY0NmE0MDc4OGJjZmMwNmVhZDAxNjM1OWIyYjAyZmVhNTIwNGE1ZWRlZGQ3ZmI4OWVlNDBmZDg0MGQ1In0=,31
Derek Jeter,Yellow White Lettering,23,Topps Heritage,2006,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IldyQzRsRXJoTm1UbVA3VUlWeTR0Z1E9PSIsInZhbHVlIjoiaFc2QlhjQW5XU2owNGNGWUh0Q1poMnQ1VWZGWEdLZ0JNb3EyNFRLcHhvNDhKRVFaOXdEL3Vwc1FBSnBGdFpkV2VqVDdBRjFid1lRMjZFbGlhZTJqWHc9PSIsIm1hYyI6IjViZTRiNTAwMmJjMTQzNmQ2ZmZiYTU0ZWNkZjcwNjk5Y2Q0MjE1NTAwMDQxNzlhNDM4Mzc2MjU3YTUxZWZhYjkifQ==,112
Deshaun Watson,Base,104,Panini Elite Draft Picks,2017,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Im8zWXhpQTduOXJJY2svRDkwZUxMRXc9PSIsInZhbHVlIjoiYjBJajZDQ3lpYWtRL1VCK3pteEdYZG9ldi9DV3o3S3hvRE1PTnUvQW9XZHVSTG1tTUIzSS82cSswWXBBUXEycmdHNG9qdDJxc0VPVHI3aURFZTZIMkE9PSIsIm1hYyI6IjkxYmVkMzdmNTBmYjk1MjAzNDdkZjczY2FiODRhYzU3OGIxMmE2ZDA4OWZhYWRjNzNlNGQyZDNiMTdiMWJjNjYifQ==,180
Domantas Sabonis,Starburst Prizm,255,Panini Prizm,2016,https://dw7591lwb84er.cloudfront.net/eyJpdiI6ImV2NWZKemNqdlRpSXZsRkdhVEQ0bWc9PSIsInZhbHVlIjoib3g5NkhBWW1Xd0lUcVQ5WUtqaW5XY0g5SURhb0grMG1NR2xNRnFvQ0R5bUtVb216WFNaczlid0xnd0tLemloaHFvcHU3d1g3WS9zK2lJOXE4Rk5TaWc9PSIsIm1hYyI6IjhhNjUyY2JjMTI3ZmY2MzIzMjJmMTY2NGE0NDllNzU1YjYyNjUwZDQ2MmI4Y2Q0YTJkMmY4NDc1ZjFjZWU3MDgifQ==,57
Drew Brees,Base,3,Pacific Dynagon Top of the Class,2001,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InRmYmpJWDFRU29CZ2pibS9Ub00vckE9PSIsInZhbHVlIjoiRnIwaXdDaTNSYmd2cGpremVJZHB2U3UvYncyNjNUa2xUNENpQ1FkQ0N0az0iLCJtYWMiOiIxZGU5MjJlMDFmZTc4ZmFiMzQxOTAxZWVhODVkOGVmOGE0MjllMTI5NGQ4OGJmNjdhNDJkZjNkN2NjZjA2MmM3In0=,194
Emeka Okafor,Black Refractor,167,Topps Chrome,2004,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InhiZ2kvaE5CQ1VMdWhpVXdIZk5PbXc9PSIsInZhbHVlIjoiNFlCZEEvR1Y4a3JjY01qOXdIY1B2WUp3aXNTY21YaXBYSnpiakNxUjZId3NrY2ZycExTV2d5ZlBJeUpmQ1VHaTFMWWFmNFM1T1BGNm4zWEUraG9kVmc9PSIsIm1hYyI6ImZmZTZhMTc1ZWM4NzI4YWU0YWFjMzgwYjdkMmRlNWI5MDcwMTMzZjBmZDE1YmUxODFkNDJjZmIwNGE0Yzk5OTAifQ==,67
Erik Karlsson,Base,210,Upper Deck,2009,https://dw7591lwb84er.cloudfront.net/eyJpdiI6InNGUnVrK2txZlBFT3J2N1dxZ2tjV0E9PSIsInZhbHVlIjoiTFhMKzNROEdBWjh1NkE3YmtrbjBnUEtyRWRaRnRsclo2dk5SMnF4WEJoRkJzQklrb0FVVXhqbHRheENMQUN4WVdpU1FyRkdoMUx3WXFLTnp3QVJ1eUE9PSIsIm1hYyI6Ijc2MjE4N2E0NzM0ZjJiN2U1MjVkMDM4MzVhZmI3MjEzYjMyNzU0MTIzMDEyMGUxODY5YmYwZjQxN2ZkNmUxMTcifQ==,319
Fernando Tatis Jr.,Action,517,Topps Heritage,2019,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IktEMFBlcGV3bXRMV3g3VWdwM2gxMEE9PSIsInZhbHVlIjoiMmR6bWZVZ09GVVRmWk5NeWdZRVFBc3FBSGlMbStRd0wvM0d6OUhOQkU4MGw2N09IeGZKN1Fld0grNVFEdXUwSHprbzVpQnFydGk3a3dqcnlMVjErK2c9PSIsIm1hYyI6ImMzMGUwN2NlMmM0ZTRjYmNhN2U4NTBkN2RlNDk4MzczMjAyOGM2ZDY0ZTEzYzkyODZlMDgwMDk3NmY1NGZkM2IifQ==,467
Frank Gore,Base,130,Bowman,2005,https://dw7591lwb84er.cloudfront.net/eyJpdiI6IjZYUTVxN0orUE9oY0gxbmNBbXJsNnc9PSIsInZhbHVlIjoiZUlMeXovR1NLSzJYUVVLNVdBS2F5OC84cTBGMHVMR0d1NVdqRzkzL2tWbkRrWCtDNHNobHZVVWFOUmw0c1FnUTRlQlBEVFVvV0c3N3ZJMURrb3BPOEE9PSIsIm1hYyI6IjA4ZjJiMjAzM2VmZDM0NDU5MjBiNDg5MzYzMTc4ZmEwOTcwZWM5NTQ4MzczMDkzMzc2MTIzMmQyN2ZmMTZiZWEifQ==,93
Greg Maddux,Base,155,Topps Gold,2005,https://dw7591lwb84er.cloudfront.net/eyJpdiI6ImtwU0VPK2pkVmliUzVVcVc4cHpaSHc9PSIsInZhbHVlIjoicTJacXVJczZITUt0SHphUU1qa3JmSFZtU3hDT0Y1SjJDeDUvSU13UXJsTnc4WWZFTktZZ0JuaUM4UkVFbVZ1cTMyamdnRTc2Z1BDVDlGSlc2N291aFE9PSIsIm1hYyI6ImMzOTMxODkzNTY2ODBlZmE1NTRkNTUzMTA0M2MyOTRiNDg2ZjI3ZmI2OTQyMDI3NTE2NjgzODcwMTc4MmRhZjMifQ==,2
Henrik Lundqvist,Base,288,Upper Deck Victory,2005,http://host.jwcinc.net/712533/brent/2014_10/357_1_4.jpg,108
Howie Kendrick,Base,T154,Topps Traded,2004,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ilk2MW9MODgwbFlPVnEwekZFdlJ5WGc9PSIsInZhbHVlIjoiRUtvcHNMcnZEbkZOM2gwSUF1WmlEVEhxYUN3Zm4vRzlGOEtaYVNDNDVjNXFqR0Frc3dPSXlNL2RVUi9jQnlTeVVmaGNwTlFtcGJjSWJsMDlRTlFnL0E9PSIsIm1hYyI6IjAxMWJiNjVmNmE3NjFmOGUyMTJmYTllM2U1MjgwODcwZTJkMDU4OTI0OTg1MzM0ODU1YjNlN2ViNDcxY2FhMjIifQ==,172
Ichiro Suzuki,Red Xfractor,10,Topps Chrome,2004,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Imw3UFhWRmtxM1JtVjNyMHNMbHVQWlE9PSIsInZhbHVlIjoiSG8zZEhIOG9URHdKWFRiWGNaNjA3cVJsMTg3WkVQZE5jSXhtak05NkpBUT0iLCJtYWMiOiIxZjA0NGJlOWNmZDliOTYzMTY5MTM2Yjc5ZDAwMDQ5MzcwZDNiYmUwN2FiMWFhODRmNDc1NGM0YThlOTMwMmE3In0=,1
Jadeveon Clowney,Jumping,120,Topps Chrome,2014,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ill6d1dxaXZldHdETFVkT0hpNGZoNEE9PSIsInZhbHVlIjoiWm90SXhkL0lkTXpRQVNkYSt5Z2p6WTFFL0ZkTFZtUENqWnRua3lTWHdxVT0iLCJtYWMiOiI2MWM2Njk4ZWY3ZTFiYzUwYzIxZmVlYjQxYWI3Y2Y1ZjYyMjdmZTU4ZTkyNTlhNjI1ZDkyNjMxM2IzY2NkMTAwIn0=,119
Joel Embiid,Blue & Green Mosaic Prizm,253,Panini Prizm,2014,https://dw7591lwb84er.cloudfront.net/eyJpdiI6Ik9jZERuSldxeXZ3Y1YyUVVRU2JSWEE9PSIsInZhbHVlIjoiRXN3anptaEZ2YmdVaERyUUs0N1V4WnJwWXNtR3FUY0JLaExCWFFVRzlTc2xDRTByc3RnU1hiWkpqUUYwWU5kV1pyalNxSSs3V2tBNHZXTUkrWjZpT3J4Yno0QkVaMGxrNGQyQUVjclpRM1U9IiwibWFjIjoiYjM3MzY4YzA1ZGZkZDA1MjJiN2Y0MDAwMzJhMzA1Y2UwMjlhYmY0YmIzM2EzOTExMTE0OGNhNTc3MGU0MTg1MyJ9,179
